Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
TPTA.S22IB,2013.12,13112,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2014.12,15054,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2015.12,15306,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2016.12,14636,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2017.12,17213,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2018.12,18294,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2019.12,18539,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2020.12,14720,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2021.12,16478,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2022.12,16894,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2023.12,20532,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2024.12,16248,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IC,1970.12,11888,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1971.12,9690,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1972.12,11516,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1973.12,13316,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1974.12,14361,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1975.12,9260,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1976.12,5664,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1977.12,7136,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1978.12,11600,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1979.12,11008,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1980.12,16988,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1981.12,22804,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1982.12,24038,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1983.12,22899,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1984.12,27325,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1985.12,18789,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
